iter	Passed	Remaining
0	5	5847
1	6	3002
2	6	2045
3	6	1565
4	6	1279
5	6	1089
6	6	951
7	6	848
8	6	767
9	7	704
10	7	651
11	7	607
12	8	636
13	8	600
14	8	569
15	8	542
16	8	517
17	9	495
18	9	477
19	9	459
20	9	443
21	9	430
22	9	416
23	9	403
24	10	392
25	10	382
26	10	373
27	10	364
28	10	355
29	10	348
30	10	340
31	11	333
32	11	327
33	11	320
34	12	335
35	12	344
36	12	338
37	13	332
38	13	326
39	13	321
40	13	316
41	13	311
42	13	307
43	13	302
44	14	298
45	14	294
46	14	290
47	14	287
48	14	283
49	14	279
50	14	276
51	14	273
52	15	270
53	15	267
54	15	264
55	15	261
56	15	258
57	15	256
58	15	254
59	16	251
60	16	249
61	16	247
62	16	245
63	16	242
64	16	240
65	16	238
66	17	237
67	17	235
68	18	243
69	18	241
70	18	239
71	18	237
72	18	235
73	18	234
74	18	232
75	19	237
76	19	236
77	19	234
78	19	232
79	20	231
80	20	229
81	20	227
82	20	226
83	20	224
84	20	223
85	20	221
86	21	220
87	21	227
88	22	226
89	22	224
90	22	223
91	22	221
92	22	220
93	22	218
94	22	217
95	22	215
96	23	214
97	23	213
98	23	211
99	23	210
100	23	209
101	23	208
102	23	206
103	23	205
104	24	204
105	24	203
106	24	202
107	24	201
108	24	200
109	24	198
110	24	197
111	24	196
112	24	195
113	25	194
114	25	193
115	25	192
116	25	191
117	25	190
118	25	189
119	25	188
120	25	187
121	25	186
122	26	186
123	26	185
124	26	184
125	26	183
126	26	182
127	26	182
128	26	181
129	26	180
130	27	179
131	27	179
132	27	178
133	27	177
134	27	176
135	27	176
136	27	175
137	27	174
138	28	173
139	28	173
140	28	172
141	28	171
142	28	171
143	28	170
144	28	169
145	28	169
146	29	168
147	29	168
148	29	167
149	29	167
150	29	166
151	29	166
152	29	165
153	30	164
154	30	164
155	30	163
156	30	164
157	30	163
158	30	163
159	30	162
160	31	162
161	31	161
162	31	161
163	31	160
164	31	160
165	31	159
166	31	159
167	32	158
168	32	158
169	32	157
170	32	157
171	32	157
172	32	156
173	32	156
174	33	156
175	33	155
176	33	155
177	33	155
178	33	154
179	33	154
180	34	154
181	34	153
182	34	153
183	34	153
184	34	152
185	34	152
186	35	152
187	35	151
188	35	151
189	35	151
190	35	151
191	35	150
192	35	150
193	36	149
194	36	149
195	36	149
196	36	149
197	36	148
198	36	148
199	37	148
200	37	148
201	37	147
202	37	147
203	37	147
204	37	146
205	37	146
206	38	146
207	38	145
208	38	145
209	38	144
210	38	144
211	38	144
212	38	143
213	39	143
214	39	143
215	39	143
216	39	142
217	39	142
218	39	142
219	40	142
220	40	141
221	40	141
222	40	141
223	40	140
224	40	140
225	40	140
226	41	140
227	41	139
228	41	139
229	41	139
230	41	138
231	41	138
232	42	138
233	42	138
234	42	137
235	42	137
236	42	137
237	42	136
238	42	136
239	43	136
240	43	135
241	43	135
